Tgr credit packet latency(ns)
Die 0
layer AD port 0
0.0,	0.0,	2.91071,	0.0,	0.0,	2.80357,	0.0,	0.0,	
0.0,	0.0,	0.0,	2.78571,	0.0,	0.0,	2.54464,	0.0,	
0.0,	0.0,	0.0,	2.48214,	0.0,	0.0,	0.0,	2.45536,	
0.0,	0.0,	0.0,	2.30357,	0.0,	0.0,	0.0,	2.33929,	
0.0,	0.0,	0.0,	2.29464,	0.0,	0.0,	0.0,	2.26786,	
0.0,	0.0,	0.0,	2.5,	0.0,	0.0,	0.0,	2.55357,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
3,	0.0,	0.0,	0.0,	2.99107,	0.0,	0.0,	0.0,	

layer AD port 1
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	

layer BL port 0
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	

layer BL port 1
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	

layer AK port 0
0.0,	3.07798,	3.24057,	3.09633,	3.20455,	0.0,	3.3,	0.0,	
0.0,	2.63615,	2.78049,	2.73892,	2.71698,	2.65459,	2.88647,	0.0,	
2.22685,	2.47897,	2.41429,	2.43062,	2.45952,	2.38626,	2.54502,	2.31797,	
2.10274,	2.27594,	2.34615,	2.21292,	2.26415,	2.14815,	2.44712,	2.15258,	
2.09813,	2.11321,	2.38107,	2.19286,	2.20968,	2.15581,	2.36058,	2.13488,	
2.24524,	2.30374,	2.3814,	2.3467,	2.29108,	2.25231,	2.33945,	2.30861,	
