"hw_id","type","timing","value"
D0_0_0,A0_receive[3],100,0.266667
D0_0_0,dst_credit_receive[0],100,0.0166667
D0_0_0,du_in[0],100,0.0166667
D0_0_0,du_in[2],100,0.222222
D0_0_0,du_in[3],100,0.0222222
D0_0_0,du_to_tgr[0],100,0.0166667
D0_0_0,du_to_tgr[2],100,0.222222
D0_0_0,du_to_tgr[3],100,0.0222222
D0_0_0,lr_from_tgr[0],100,0.0166667
D0_0_0,lr_from_tgr[2],100,0.222222
D0_0_0,lr_from_tgr[3],100,0.0222222
D0_0_0,lr_in[3],100,0.2
D0_0_0,lr_out[0],100,0.0166667
D0_0_0,lr_out[2],100,0.216667
D0_0_0,lr_out[3],100,0.211111
D0_0_0,rl_in[3],100,0.266667
D0_0_0,rl_in[4],100,0.0166667
D0_0_0,rl_out[3],100,0.2
D0_0_0,ud_out[4],100,0.238889
D0_0_1,A0_receive[3],100,0.277778
D0_0_1,A0_send[2],100,0.138889
D0_0_1,A0_tgr_credit_receive[2],100,0.0611111
D0_0_1,du_in[2],100,0.316667
D0_0_1,du_in[3],100,0.0444444
D0_0_1,du_in[4],100,0.0444444
D0_0_1,du_to_tgr[2],100,0.316667
D0_0_1,du_to_tgr[3],100,0.0444444
D0_0_1,lr_from_tgr[2],100,0.0944444
D0_0_1,lr_from_tgr[3],100,0.0444444
D0_0_1,lr_in[0],100,0.0166667
D0_0_1,lr_in[2],100,0.216667
D0_0_1,lr_in[3],100,0.211111
D0_0_1,lr_out[0],100,0.0166667
D0_0_1,lr_out[2],100,0.311111
D0_0_1,lr_out[3],100,0.244444
D0_0_1,rl_in[3],100,0.266667
D0_0_1,rl_in[4],100,0.0166667
D0_0_1,rl_out[3],100,0.266667
D0_0_1,rl_out[4],100,0.0166667
D0_0_1,ud_out[2],100,0.1
D0_0_1,ud_out[4],100,0.116667
D0_0_1,ud_to_tgr[2],100,0.0333333
D0_0_2,A0_receive[3],100,0.288889
D0_0_2,A0_send[0],100,0.0944444
D0_0_2,A0_send[2],100,0.144444
D0_0_2,A0_tgr_credit_receive[0],100,0.0888889
D0_0_2,A0_tgr_credit_receive[2],100,0.0444444
D0_0_2,A1_receive[0],100,0.0777778
D0_0_2,A1_receive[2],100,0.505556
D0_0_2,A1_send[3],100,0.311111
D0_0_2,dst_credit_receive[0],100,0.0166667
D0_0_2,du_in[2],100,0.316667
D0_0_2,du_in[3],100,0.0222222
D0_0_2,du_in[4],100,0.1
D0_0_2,du_to_tgr[2],100,0.316667
D0_0_2,du_to_tgr[3],100,0.0444444
D0_0_2,lr_from_tgr[0],100,0.0111111
D0_0_2,lr_from_tgr[2],100,0.0222222
D0_0_2,lr_from_tgr[3],100,0.0444444
D0_0_2,lr_in[0],100,0.0166667
D0_0_2,lr_in[2],100,0.311111
D0_0_2,lr_in[3],100,0.244444
D0_0_2,lr_out[0],100,0.0222222
D0_0_2,lr_out[2],100,0.172222
D0_0_2,lr_out[3],100,0.288889
D0_0_2,lr_out[4],100,0.0666667
D0_0_2,rl_from_tgr[0],100,0.00555556
D0_0_2,rl_from_tgr[2],100,0.00555556
D0_0_2,rl_in[0],100,0.0666667
D0_0_2,rl_in[2],100,0.35
D0_0_2,rl_in[3],100,0.266667
D0_0_2,rl_in[4],100,0.0222222
D0_0_2,rl_out[3],100,0.266667
D0_0_2,rl_out[4],100,0.0166667
D0_0_2,ud_out[0],100,0.0777778
D0_0_2,ud_out[2],100,0.105556
D0_0_2,ud_out[3],100,0.288889
D0_0_2,ud_out[4],100,0.0555556
D0_0_2,ud_to_tgr[0],100,0.0166667
D0_0_2,ud_to_tgr[2],100,0.0333333
D0_0_3,A0_receive[3],100,0.288889
D0_0_3,A0_send[2],100,0.138889
D0_0_3,A0_tgr_credit_receive[2],100,0.0444444
D0_0_3,dst_credit_receive[0],100,0.0833333
D0_0_3,du_in[0],100,0.0833333
D0_0_3,du_in[2],100,0.305556
D0_0_3,du_in[3],100,0.0111111
D0_0_3,du_in[4],100,0.0277778
D0_0_3,du_to_tgr[0],100,0.0833333
D0_0_3,du_to_tgr[2],100,0.305556
D0_0_3,du_to_tgr[3],100,0.0111111
D0_0_3,lr_from_tgr[0],100,0.0555556
D0_0_3,lr_from_tgr[2],100,0.0777778
