"hw_id","type","timing","value"
D0_0_0,[0]tgr_egr_crd_buf,100,0.00134
D0_0_0,[3]tgr_egr_bnc_buf,100,0.00256
D0_0_0,[2]tgr_egr_bnc_buf,100,0.14422
D0_0_0,[3]tgr_igr_bnc_buf,100,0.00118
D0_0_0,A0[3]agent_igr_bnc_buf,100,0.01701
D0_0_1,[3]tgr_egr_bnc_buf,100,0.01075
D0_0_1,[2]tgr_egr_bnc_buf,100,0.4797
D0_0_1,[2]tgr_igr_crd_buf,100,0.01105
D0_0_1,[3]tgr_igr_bnc_buf,100,0.00295
D0_0_1,A0[2]agent_egr_buf,100,0.0258
D0_0_1,A0[3]agent_igr_bnc_buf,100,0.00216
D0_0_2,[0]tgr_egr_crd_buf,100,0.01696
D0_0_2,[3]tgr_egr_bnc_buf,100,0.00012
D0_0_2,[2]tgr_egr_bnc_buf,100,0.5675
D0_0_2,A1[0]agent_igr_crd_buf,100,0.00014
D0_0_2,[2]tgr_igr_crd_buf,100,0.01497
D0_0_2,[3]tgr_igr_bnc_buf,100,0.00236
D0_0_2,A0[0]agent_egr_buf,100,0.01841
D0_0_2,A0[2]agent_egr_buf,100,0.02642
D0_0_2,A1[3]agent_egr_buf,100,0.0332
D0_0_2,A1[4]agent_egr_buf,100,0.00854
D0_0_2,A0[3]agent_igr_bnc_buf,100,0.00224
D0_0_2,A1[2]agent_igr_bnc_buf,100,0.05796
D0_0_3,[0]tgr_egr_crd_buf,100,0.07668
D0_0_3,[3]tgr_egr_bnc_buf,100,3e-05
D0_0_3,[2]tgr_egr_bnc_buf,100,0.54182
D0_0_3,[2]tgr_igr_crd_buf,100,0.00924
D0_0_3,[3]tgr_igr_bnc_buf,100,0.00059
D0_0_3,A0[2]agent_egr_buf,100,0.02515
D0_0_3,A0[3]agent_igr_bnc_buf,100,0.00224
D0_0_4,[0]tgr_egr_crd_buf,100,0.01133
D0_0_4,[3]tgr_egr_bnc_buf,100,0.00454
D0_0_4,[2]tgr_egr_bnc_buf,100,0.52937
D0_0_4,A1[0]agent_igr_crd_buf,100,0.00014
D0_0_4,[2]tgr_igr_crd_buf,100,0.00817
D0_0_4,[3]tgr_igr_bnc_buf,100,0.00354
D0_0_4,A0[2]agent_egr_buf,100,0.03139
D0_0_4,A1[3]agent_egr_buf,100,0.01832
D0_0_4,A1[4]agent_egr_buf,100,0.00978
D0_0_4,A0[3]agent_igr_bnc_buf,100,0.00224
D0_0_4,A1[2]agent_igr_bnc_buf,100,0.05229
D0_0_5,[0]tgr_egr_crd_buf,100,0.01071
D0_0_5,[3]tgr_egr_bnc_buf,100,0.00193
D0_0_5,[2]tgr_egr_bnc_buf,100,0.53993
D0_0_5,[2]tgr_igr_crd_buf,100,0.0129
D0_0_5,[3]tgr_igr_bnc_buf,100,0.00118
D0_0_5,A0[0]agent_egr_buf,100,0.01841
D0_0_5,A0[3]agent_igr_bnc_buf,100,0.01764
D0_0_6,[0]tgr_egr_crd_buf,100,0.00195
D0_0_6,[3]tgr_egr_bnc_buf,100,0.0096
D0_0_6,[2]tgr_egr_bnc_buf,100,0.51485
D0_0_6,A1[0]agent_igr_crd_buf,100,0.00014
D0_0_6,[2]tgr_igr_crd_buf,100,0.012
D0_0_6,[3]tgr_igr_bnc_buf,100,0.00531
D0_0_6,A0[2]agent_egr_buf,100,0.03139
D0_0_6,A1[3]agent_egr_buf,100,0.03383
D0_0_6,A1[4]agent_egr_buf,100,0.00854
D0_0_6,A0[3]agent_igr_bnc_buf,100,0.00216
D0_0_6,A1[2]agent_igr_bnc_buf,100,0.00252
D0_0_7,[0]tgr_egr_crd_buf,100,0.02283
D0_0_7,[2]tgr_egr_bnc_buf,100,0.08863
D0_0_7,A0[3]agent_igr_bnc_buf,100,0.01638
D0_1_0,[0]tgr_egr_crd_buf,100,3e-05
D0_1_0,[3]tgr_egr_bnc_buf,100,0.0126
D0_1_0,[3]tgr_igr_bnc_buf,100,0.00236
D0_1_0,A0[3]agent_igr_bnc_buf,100,0.0315
D0_1_1,[3]tgr_egr_bnc_buf,100,0.02644
D0_1_1,[2]tgr_egr_bnc_buf,100,3e-05
D0_1_1,[3]tgr_igr_bnc_buf,100,0.0059
D0_1_1,A0[2]agent_egr_buf,100,0.06606
D0_1_1,A0[3]agent_igr_bnc_buf,100,0.00392
D0_1_2,[0]tgr_egr_crd_buf,100,3e-05
D0_1_2,[3]tgr_egr_bnc_buf,100,0.04142
D0_1_2,[2]tgr_egr_bnc_buf,100,0.00065
D0_1_2,[3]tgr_igr_bnc_buf,100,0.00472
D0_1_2,A0[2]agent_egr_buf,100,0.06917
D0_1_2,A0[3]agent_igr_bnc_buf,100,0.004
D0_1_3,[0]tgr_egr_crd_buf,100,0.01514
D0_1_3,[0]tgr_igr_crd_buf,100,4e-05
D0_1_3,[3]tgr_egr_bnc_buf,100,0.00688
D0_1_3,[2]tgr_egr_bnc_buf,100,0.00064
D0_1_3,[3]tgr_igr_bnc_buf,100,0.00118
