Sender's bandwidth(packets/cycle)
Die 0
layer AD port 0
0.0,	0.0,	0.1197,	0.0,	0.0,	0.1197,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.1197,	0.0,	0.0,	0.1197,	0.0,	
0.0,	0.0,	0.0,	0.1197,	0.0,	0.0,	0.0,	0.1197,	
0.0,	0.0,	0.0,	0.1197,	0.0,	0.0,	0.0,	0.1197,	
0.0,	0.0,	0.0,	0.1197,	0.0,	0.0,	0.0,	0.1197,	
0.0,	0.0,	0.0,	0.1197,	0.0,	0.0,	0.0,	0.1197,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.1197,	0.0,	0.0,	0.0,	0.1197,	0.0,	0.0,	0.0,	
Total BW: 1.6758

layer AD port 1
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
Total BW: 0

layer BL port 0
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
Total BW: 0

layer BL port 1
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
Total BW: 0

layer AK port 0
0.0,	0.1481,	0.1481,	0.1481,	0.1481,	0.0,	0.1481,	0.0,	
0.0,	0.2928,	0.2928,	0.2593,	0.2928,	0.2928,	0.2929,	0.0,	
0.2915,	0.2916,	0.2917,	0.2592,	0.2919,	0.2919,	0.2919,	0.2918,	
0.2898,	0.2897,	0.2901,	0.2581,	0.29,	0.2902,	0.2901,	0.2901,	
0.2892,	0.2893,	0.2893,	0.2558,	0.2893,	0.2893,	0.2893,	0.2894,	
0.2861,	0.2862,	0.2861,	0.2531,	0.2863,	0.2863,	0.2863,	0.2863,	
0.0,	0.2876,	0.2875,	0.2541,	0.2876,	0.2875,	0.2875,	0.0,	
0.1486,	0.1486,	0.1486,	0.0,	0.1486,	0.0,	0.1486,	0.1486,	
Total BW: 14.1745

layer AK port 1
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
Total BW: 0

layer IV port 0
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
Total BW: 0

layer IV port 1
0.0,	0.1142,	0.089,	0.091,	0.082,	0.0,	0.0838,	0.0,	
0.0,	0.078,	0.058,	0.0568,	0.0698,	0.0818,	0.0536,	0.0,	
0.1176,	0.0766,	0.0574,	0.0648,	0.0484,	0.0546,	0.0548,	0.1134,	
0.1176,	0.0862,	0.0666,	0.0708,	0.0566,	0.0674,	0.0652,	0.093,	
0.1176,	0.0822,	0.0664,	0.0674,	0.0666,	0.0576,	0.0552,	0.0828,	
0.1176,	0.081,	0.0568,	0.0592,	0.0638,	0.0556,	0.0542,	0.0844,	
0.0,	0.0644,	0.0554,	0.0874,	0.0596,	0.0852,	0.0508,	0.0,	
0.1232,	0.1096,	0.0828,	0.0,	0.081,	0.0,	0.0784,	0.1102,	
Total BW: 4.2254

layer AKC port 0
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
Total BW: 0

layer AKC port 1
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	0.0,	
Total BW: 0

